Symphoricarpos rotundifolius,Roundleaf Snowberry,326
Heuchera parvifolia,littleleaf alumroot,325
Eriocoma hymenoides,Sand Ricegrass,325
Sarcodon imbricatus,shingled hedgehog,324
Valeriana edulis,tobacco-root,324
Protoparmeliopsis muralis,Stonewall Rim Lichen,320
Packera multilobata,Lobeleaf Groundsel,316
Melospiza lincolnii,Lincoln's Sparrow,314
Calvatia booniana,Western Giant Puffball,313
Trifolium nanum,Dwarf Clover,313
Mirabilis linearis,Narrowleaf Four o'Clock,311
Chlosyne gorgone,Gorgone Checkerspot,311
Malus domestica,apple,311
Lithospermum occidentale,western false gromwell,311
Lithobates pipiens,Northern Leopard Frog,310
Physocarpus monogynus,mountain ninebark,310
Phlox multiflora,flowery phlox,310
Yucca baccata,Banana Yucca,309
Mirabilis multiflora,Colorado Four o'Clock,309
Euxoa auxiliaris,Army Cutworm Moth,305
Rhizoplaca chrysoleuca,Orange Rock Posy,305
Lappula occidentalis,Flatspine Stickseed,304
Musineon divaricatum,leafy wildparsley,304
Glaucopsyche lygdamus,Silvery Blue,303
Leccinum insigne,aspen bolete,303
Andropogon gerardi,big bluestem,302
Athene cunicularia,Burrowing Owl,301
Xanthium strumarium,rough cocklebur,301
Machaeranthera tanacetifolia,Tahoka daisy,300
Salix amygdaloides,peachleaf willow,299
Eriogonum alatum,Winged Buckwheat,299
Eleodes suturalis,Red-backed Darkling Beetle,299
Agriades glandon,Arctic Blue,299
Dactylis glomerata,orchard grass,297
Cucurbita foetidissima,Buffalo Gourd,297
Oxytropis splendens,Showy Locoweed,295
Bombus fervidus,Golden Northern Bumble Bee,294
Aglais milberti,Milbert's Tortoiseshell,293
Sceloporus graciosus,Common Sagebrush Lizard,292
Townsendia hookeri,Hooker's Townsend-daisy,292
Picoides dorsalis,American Three-toed Woodpecker,291
Astragalus parryi,Parry's Milkvetch,291
Astragalus bisulcatus,Two-grooved Milkvetch,290
Primula angustifolia,Alpine Primrose,290
Falco mexicanus,Prairie Falcon,289
Usnea hirta,Bristly Beard Lichen,289
Astragalus alpinus,Alpine Milkvetch,288
Tetramorium immigrans,Immigrant Pavement Ant,288
Megatibicen dealbatus,Plains Cicada,288
Gentiana affinis,pleated gentian,287
Asclepias incarnata,swamp milkweed,286
Gaillardia pulchella,Indian blanket,285
Phyciodes cocyta,Northern Crescent,284
Neotamias quadrivittatus,Colorado Chipmunk,284
Apiomerus spissipes,,283
Spizella breweri,Brewer's Sparrow,281
Pinicola enucleator,Pine Grosbeak,281
Lanius ludovicianus,Loggerhead Shrike,280
Ephedra viridis,Green Ephedra,279
Tharsalea helloides,Purplish Copper,279
Hetaerina americana,American Rubyspot,278
Pedicularis procera,giant lousewort,278
Rhizocarpon geographicum,yellow map lichen,277
Bouteloua curtipendula,Sideoats Grama,274
Lygodesmia juncea,rush skeletonplant,273
Mischocyttarus flavitarsis,Western Paper Wasp,272
Securigera varia,purple crownvetch,272
Argia vivida,Vivid Dancer,271
Argynnis edwardsii,Edwards's Fritillary,271
Abronia fragrans,Snowball Sand Verbena,270
Humulus lupulus,common hops,269
Passerina caerulea,Blue Grosbeak,269
Leptoglossus clypealis,Western Leaf-footed Bug,269
