Arctostaphylos pungens,pointleaf manzanita,175
Bouteloua gracilis,Blue Grama,175
Escobaria vivipara,Spinystar,175
Lithospermum incisum,narrowleaf puccoon,173
Anatis lecontei,LeConte's Giant Lady Beetle,173
Streptanthus longirostris,Fiddle Mustard,173
Tribulus terrestris,puncture vine,172
Speyeria cybele,Great Spangled Fritillary,171
Habronattus festus,,171
Crotaphytus collaris,Eastern Collared Lizard,170
Erythranthe verbenacea,Crimson Monkeyflower,170
Iris missouriensis,western blue flag,169
Lucanus mazama,Cottonwood Stag Beetle,169
Bromus inermis,Smooth Brome,167
Astragalus amphioxys,crescent milkvetch,167
Sterna forsteri,Forster's Tern,166
Trichodes ornatus,Ornate Checkered Beetle,165
Hesperia juba,Juba Skipper,165
Oenothera elata,tall evening primrose,164
Aglais milberti,Milbert's Tortoiseshell,164
Castilleja applegatei,wavyleaf paintbrush,164
Lepidium fremontii,desert pepperweed,164
Astragalus zionis,Zion Milkvetch,164
Phoradendron juniperinum,Juniper Mistletoe,163
Echinocereus relictus,Relict Hedgehog Cactus,163
Gymnogyps californianus,California Condor,162
Oxyopes scalaris,Western Lynx Spider,162
Opuntia engelmannii,Engelmann's Pricklypear,161
Adalia bipunctata,Two-spotted Lady Beetle,159
Phyciodes mylitta,Mylitta Crescent,159
Cystopteris fragilis,brittle bladderfern,158
Argiope trifasciata,Banded Garden Spider,158
Chaetopappa ericoides,Heath-leaved Chaetopappa,158
Monochamus scutellatus,White-spotted Sawyer Beetle,157
Echinocereus bakeri,,157
Streptanthus cordatus,Heartleaf Twistflower,156
Portulaca oleracea,Common Purslane,155
Phalaropus lobatus,Red-necked Phalarope,154
Baeolophus ridgwayi,Juniper Titmouse,154
Veronica hederifolia,Ivy-leaved Speedwell,153
Eucephalus engelmannii,Engelmann's aster,153
Solanum elaeagnifolium,silverleaf nightshade,153
Senecio spartioides,Broom-like Ragwort,152
Sedum debile,Orpine Stonecrop,152
Oreocarya humilis,low cryptantha,152
Descurainia pinnata,Western Tansymustard,151
Lanius ludovicianus,Loggerhead Shrike,150
Astragalus lentiginosus,Freckled Milkvetch,150
Phlox hoodii,spiny phlox,150
Leccinum insigne,aspen bolete,148
Crepis acuminata,Tapertip Hawksbeard,147
Xylocopa tabaniformis,Horse-fly Carpenter,146
Adelpha eulalia,Arizona Sister,146
Halictus rubicundus,Orange-legged Furrow Bee,146
Mertensia brevistyla,Shortstyle Bluebells,146
Spea intermontana,Great Basin Spadefoot,145
Thermopsis montana,Mountain goldenbean,143
Geococcyx californianus,Greater Roadrunner,142
Aquarius remigis,Common Water Strider,142
Sitta carolinensis,White-breasted Nuthatch,141
Apiomerus montanus,,141
Yucca brevifolia,Joshua Tree,140
Megarhyssa macrurus,Long-tailed Giant Ichneumonid Wasp,140
Sphaeralcea grossulariifolia,Gooseberryleaf Globemallow,140
Lomatium grayi,gray's lomatium,139
Cheiracanthium mildei,Northern Yellow Sac Spider,138
Thalictrum fendleri,Fendler's Meadow-rue,137
Fraxinus velutina,velvet ash,137
Asclepias welshii,Welsh's milkweed,137
Eleodes hispilabris,,137
Stelgidopteryx serripennis,Northern Rough-winged Swallow,136
Lonicera tatarica,Tatarian honeysuckle,135
Contopus sordidulus,Western Wood-Pewee,134
Cupido amyntula,Western Tailed-Blue,134
Libellula pulchella,Twelve-spotted Skimmer,133
Eriogonum brevicaule,Shortstem Buckwheat,133
Pipilo chlorurus,Green-tailed Towhee,132
Aythya americana,Redhead,131
Tamarix chinensis,Five-stamen Tamarisk,131
Stephanomeria exigua,Small Wirelettuce,131
Verbena bracteata,Bigbract Verbena,130
Callophrys gryneus,Juniper Hairstreak,130
Bombus nevadensis,Nevada Bumble Bee,130
Cardamine cordifolia,heartleaf bittercress,129
Asclepias tuberosa,butterfly milkweed,128
Asclepias cryptoceras,Humboldt Mountains milkweed,128
Agave utahensis,Utah Agave,128
Ivesia gordonii,Gordon's Mousetail,128
Lampropeltis californiae,California King Snake,128
Aciurina bigeloviae,Cotton-gall Tephritid,128
Polistes aurifer,Golden Paper Wasp,127
Accipiter striatus,Sharp-shinned Hawk,126
Ferocactus cylindraceus,California Barrel Cactus,126
Equisetum laevigatum,smooth horsetail,126
Calochortus flexuosus,winding mariposa lily,126
Solidago velutina,velvety goldenrod,126
Tegenaria domestica,Barn Funnel Weaver,126
Clematis hirsutissima,hairy clematis,126
Coleonyx variegatus,Western Banded Gecko,125
Lepidium montanum,Mountain Pepperweed,125
Chlosyne acastus,Sagebrush Checkerspot,124
Crataegus douglasii,Black Hawthorn,124
Vireo gilvus,Warbling Vireo,123
Erigeron canadensis,horseweed,123
Tringa semipalmata,Willet,123
Megascops kennicottii,Western Screech-Owl,121
Glaucopsyche lygdamus,Silvery Blue,120
Poliomintha incana,Frosted Mint,120
Asclepias macrosperma,big seed milkweed,120
Oreocarya flavoculata,Yellow-eyed Cryptantha,120
Faxonius virilis,Virile Crayfish,120
Pyrus calleryana,Callery pear,119
Yucca utahensis,Utah yucca,119
Fraxinus pennsylvanica,green ash,118
Tremex columba,Pigeon Horntail,118
Mirabilis linearis,Narrowleaf Four o'Clock,118
Xanthoteras eburneum,,118
Cyprinus carpio,European Carp,117
Picea pungens,blue spruce,117
Tanacetum parthenium,feverfew,116
Anabrus simplex,Mormon Cricket,116
Penstemon strictus,Rocky Mountain penstemon,116
Bombus fervidus,Golden Northern Bumble Bee,115
Euptoieta claudia,Variegated Fritillary,115
Tenodera sinensis,Chinese Mantis,115
Chilopsis linearis,desert willow,115
Phalaropus tricolor,Wilson's Phalarope,115
Balsamorhiza macrophylla,cutleaf balsamroot,115
Oreocarya confertiflora,Yellow-flowered Cryptantha,115
Pseudacris hypochondriaca,Baja California Tree Frog,114
Penstemon platyphyllus,Broadleaf Beardtongue,114
Spizella breweri,Brewer's Sparrow,113
Boletus edulis,King Bolete,113
Acer platanoides,Norway maple,113
Puma concolor,Mountain Lion,112
Hordeum jubatum,Foxtail Barley,112
Platypedia putnami,Putnam's Cicada,112
Ranunculus andersonii,Anderson's buttercup,112
Anticlea elegans,Mountain Deathcamas,112
Sauromalus ater,Common Chuckwalla,111
Urocyon cinereoargenteus,Gray Fox,111
Pedicularis centranthera,Dwarf Lousewort,111
Stenotus acaulis,Stemless Mock Goldenweed,111
Myiarchus cinerascens,Ash-throated Flycatcher,110
